Date, Close/Last, Volume, Open, High, Low
12/31/2018, 6635.28, 0, 6649.52, 6659.96, 6570.06
12/31/2015, 5007.41, 0, 5047.04, 5058.06, 5007.01
12/31/2014, 4736.05, 0, 4790.53, 4806.43, 4734.11
12/30/2016, 5383.12, 0, 5440.17, 5441.9, 5371.89
12/30/2015, 5065.85, 0, 5101.18, 5102.35, 5065.68
12/30/2014, 4777.44, 0, 4793.61, 4803.89, 4772.88
12/29/2017, 6903.39, 0, 6952.61, 6954.98, 6903.39
12/29/2016, 5432.09, 0, 5437.51, 5450.63, 5415.18
12/29/2015, 5107.94, 0, 5066.52, 5116.99, 5065.89
12/29/2014, 4806.91, 0, 4801.26, 4813.72, 4798.9
12/28/2018, 6584.52, 0, 6616.79, 6684.18, 6529.22
12/28/2017, 6950.16, 0, 6953.38, 6954.8, 6936.75
12/28/2016, 5438.56, 0, 5497.44, 5498.91, 5434.7
12/28/2015, 5040.99, 0, 5032.29, 5041.27, 4999.07
12/27/2018, 6579.49, 0, 6457.19, 6583.01, 6336.97
12/27/2017, 6939.34, 0, 6941.45, 6955.38, 6931.34
12/27/2016, 5487.44, 0, 5470.76, 5512.37, 5469.61
12/26/2018, 6554.36, 0, 6257.86, 6555.53, 6214.34
12/26/2017, 6936.25, 0, 6928.92, 6942.14, 6915.56
12/26/2014, 4806.86, 0, 4788.06, 4814.95, 4787.85
12/24/2018, 6192.92, 0, 6278.49, 6355.18, 6190.17
12/24/2015, 5048.49, 0, 5046.19, 5063.28, 5043.65
12/24/2014, 4773.47, 0, 4770.12, 4787.57, 4768.67
12/23/2016, 5462.69, 0, 5441.76, 5462.69, 5441.76
12/23/2015, 5045.93, 0, 5025.55, 5046.09, 5020.44
12/23/2014, 4765.42, 0, 4798.03, 4798.06, 4761.39
12/22/2017, 6959.96, 0, 6958.02, 6962.26, 6944.44
12/22/2016, 5447.42, 0, 5472.01, 5472.01, 5432.77
12/22/2015, 5001.11, 0, 4988.68, 5007.77, 4964.08
12/22/2014, 4781.42, 0, 4759.04, 4781.93, 4757.8
12/21/2018, 6332.99, 0, 6573.49, 6586.68, 6304.63
12/21/2017, 6965.36, 0, 6972.88, 6992.63, 6961.21
12/21/2016, 5471.43, 0, 5482.63, 5486.26, 5465.31
12/21/2015, 4968.92, 0, 4957.53, 4968.92, 4928.93
12/20/2018, 6528.41, 0, 6607.76, 6666.2, 6447.91
12/20/2017, 6960.96, 0, 6991.25, 6991.25, 6935.42
12/20/2016, 5483.94, 0, 5473.53, 5489.47, 5471.71
12/19/2018, 6636.83, 0, 6777.59, 6868.86, 6586.5
12/19/2017, 6963.85, 0, 6991.25, 6995.88, 6951.49
12/19/2016, 5457.44, 0, 5441.2, 5483.42, 5436.54
12/19/2014, 4765.38, 0, 4752.6, 4782.13, 4738.29
12/18/2018, 6783.91, 0, 6809.82, 6847.27, 6733.71
12/18/2017, 6994.76, 0, 6980.4, 7003.89, 6975.54
12/18/2015, 4923.08, 0, 4982.58, 4996.49, 4921.33
12/18/2014, 4748.4, 0, 4712.39, 4748.4, 4697.09
12/17/2018, 6753.73, 0, 6886.46, 6931.81, 6710.01
12/17/2015, 5002.55, 0, 5087.17, 5088.58, 5002.55
12/17/2014, 4644.31, 0, 4556.9, 4651.9, 4550.7
12/16/2016, 5437.16, 0, 5467.82, 5474.58, 5426.01
12/16/2015, 5071.13, 0, 5033.48, 5078.99, 4992.63
12/16/2014, 4547.83, 0, 4572.79, 4645.19, 4547.31
12/15/2017, 6936.58, 0, 6871.55, 6945.82, 6871.45
12/15/2016, 5456.85, 0, 5443.51, 5485.12, 5439.39
12/15/2015, 4995.36, 0, 4991.21, 5026.54, 4986.99
12/15/2014, 4605.16, 0, 4679.67, 4690.58, 4592.43
