Date, Close/Last, Volume, Open, High, Low
12/31/2018, 11374.39, 0, 11338.24, 11378.19, 11270.63
12/31/2015, 10143.42, 0, 10186.44, 10223.07, 10142.34
12/31/2014, 10839.24, 0, 10941.68, 10948.6, 10834.26
12/30/2016, 11056.9, 0, 11094.81, 11104.09, 11034.05
12/30/2015, 10225.83, 0, 10277.53, 10283.97, 10218.71
12/30/2014, 10932.99, 0, 10963.54, 10963.54, 10931.55
12/29/2017, 12808.84, 0, 12878.35, 12886.11, 12808.82
12/29/2016, 11074.33, 0, 11071.11, 11092.48, 11057.67
12/29/2015, 10306.6, 0, 10270.38, 10318.42, 10270.38
12/29/2014, 10988.01, 0, 10974.88, 11007.82, 10962.61
12/28/2018, 11290.95, 0, 11343.86, 11418.86, 11249.92
12/28/2017, 12853.09, 0, 12839.54, 12853.92, 12823.56
12/28/2016, 11058.88, 0, 11148.32, 11149.79, 11057.15
12/28/2015, 10217.4, 0, 10225.99, 10225.99, 10169.09
12/27/2018, 11285.31, 0, 11081.87, 11285.32, 10932.94
12/27/2017, 12821.98, 0, 12808.9, 12834.55, 12808.36
12/27/2016, 11146.4, 0, 11601.29, 11688.45, 11144.12
12/26/2018, 11204.09, 0, 10801.47, 11204.59, 10723.66
12/26/2017, 12808.9, 0, 12794.13, 12819.57, 12794.13
12/26/2014, 10985.4, 0, 10975.29, 11008.54, 10975.29
12/24/2018, 10769.83, 0, 10976.23, 10995.9, 10769.81
12/24/2015, 10258.55, 0, 10266.06, 10290.36, 10242.64
12/24/2014, 10955.11, 0, 10962.23, 10979.75, 10949.49
12/23/2016, 11128.8, 0, 11111.5, 11128.86, 11110.05
12/23/2015, 10276.28, 0, 10180.62, 10277.97, 10180.62
12/23/2014, 10951.76, 0, 10935.73, 10971.98, 10934.9
12/22/2017, 12797.44, 0, 12803.98, 12807.5, 12773.82
12/22/2016, 11114.14, 0, 11127.78, 11127.78, 11100.93
12/22/2015, 10112.4, 0, 10052.34, 10132.58, 10015.98
12/22/2014, 10919.99, 0, 10890.25, 10921.31, 10879.23
12/21/2018, 11036.84, 0, 11199.3, 11364.14, 11013.42
12/21/2017, 12800.21, 0, 12771.21, 12826.03, 12770.86
12/21/2016, 11142.57, 0, 11170.41, 11174.4, 11142.57
12/21/2015, 10023.03, 0, 10017.13, 10054.42, 9961.05
12/20/2018, 11222.79, 0, 11338.35, 11394.72, 11126.95
12/20/2017, 12747.55, 0, 12782.56, 12791.66, 12741.87
12/20/2016, 11172.19, 0, 11145.29, 11176.68, 11145.29
12/19/2018, 11371.84, 0, 11540.18, 11677.5, 11313.03
12/19/2017, 12747.54, 0, 12803.18, 12807.13, 12747.26
12/19/2016, 11128.54, 0, 11127, 11150.31, 11110.59
12/19/2014, 10890.24, 0, 10835.34, 10919.51, 10825.67
12/18/2018, 11502.16, 0, 11594.09, 11649.15, 11449.75
12/18/2017, 12785.82, 0, 12760.53, 12812.11, 12760.53
12/18/2015, 9967.64, 0, 10072.98, 10072.98, 9966.82
12/18/2014, 10831.62, 0, 10709.54, 10831.64, 10692.38
12/17/2018, 11532.12, 0, 11716.14, 11752.74, 11480.08
12/17/2015, 10112.63, 0, 10267.83, 10267.83, 10112.57
12/17/2014, 10603.5, 0, 10411.55, 10614.57, 10411.53
12/16/2016, 11125.22, 0, 11152.21, 11162.94, 11109.59
12/16/2015, 10267.83, 0, 10164.84, 10282.24, 10139.59
12/16/2014, 10390.02, 0, 10386.11, 10583.69, 10360.03
12/15/2017, 12699.68, 0, 12650.08, 12723.59, 12650.08
12/15/2016, 11131.89, 0, 11087.13, 11170.65, 11086.39
12/15/2015, 10110.94, 0, 10057.33, 10149.12, 10057.33
12/15/2014, 10411.18, 0, 10535.52, 10571.47, 10373.8
12/14/2018, 11755.38, 0, 11845.36, 11882.36, 11727.89
12/14/2017, 12629.07, 0, 12706.78, 12713.82, 12629.07
12/14/2016, 11098.67, 0, 11214.03, 11234, 11087.01
12/14/2015, 9986.76, 0, 9977.82, 10013.86, 9880.42
12/13/2018, 11936.16, 0, 11976.29, 12011.4, 11892.78
12/13/2017, 12699.48, 0, 12709.06, 12739.8, 12699.48
12/13/2016, 11237.17, 0, 11216.83, 11256.07, 11189.43
12/12/2018, 11943.29, 0, 11982.97, 12075.05, 11941.82
12/12/2017, 12697.78, 0, 12680.7, 12717.08, 12674.89
12/12/2016, 11177.28, 0, 11200.19, 11227.3, 11163.2
12/12/2014, 10500.51, 0, 10690.14, 10690.14, 10500.5
12/11/2018, 11860.65, 0, 11982.78, 12044.03, 11805.72
12/11/2017, 12668.21, 0, 12643.06, 12669.29, 12643.06
12/11/2015, 9976.65, 0, 10074.08, 10075.43, 9956.71
12/11/2014, 10690.14, 0, 10671.07, 10786.42, 10671.07
12/10/2019, 13545.31, 0, 13551, 13574.22, 13521.24
12/10/2018, 11889.29, 0, 11922.72, 11939.04, 11696.58
12/10/2015, 10172.04, 0, 10165.46, 10242.79, 10155.57
12/09/2019, 13555.07, 0, 13570.54, 13600.14, 13555.07
12/09/2016, 11191.79, 0, 11153.1, 11194.23, 11152.68
12/09/2015, 10162.37, 0, 10191.35, 10316.97, 10115.77
12/08/2017, 12643.06, 0, 12605, 12643.12, 12587.61
12/08/2016, 11149.96, 0, 11114.32, 11176.63, 11094.79
12/08/2015, 10198.37, 0, 10214.29, 10254.75, 10157.69
12/07/2018, 11941.93, 0, 12156.83, 12228.91, 11897.77
12/07/2017, 12568.98, 0, 12517.67, 12581.43, 12512.03
12/07/2016, 11114.61, 0, 10977.41, 11118, 10974.2
12/07/2015, 10304.53, 0, 10408.86, 10408.86, 10264.48
