Date, Close/Last, Volume, Open, High, Low
12/31/2018, 2506.85, 0, 2498.94, 2509.24, 2482.82
12/31/2015, 2043.94, 0, 2060.59, 2062.54, 2043.62
12/31/2014, 2058.9, 0, 2082.11, 2085.58, 2057.94
12/30/2016, 2238.83, 0, 2251.61, 2253.58, 2233.62
12/30/2015, 2063.36, 0, 2077.34, 2077.34, 2061.97
12/30/2014, 2080.35, 0, 2088.49, 2088.49, 2079.53
12/29/2017, 2673.61, 0, 2689.15, 2692.12, 2673.61
12/29/2016, 2249.26, 0, 2249.5, 2254.51, 2244.56
12/29/2015, 2078.36, 0, 2060.54, 2081.56, 2060.54
12/29/2014, 2090.57, 0, 2087.63, 2093.55, 2085.75
12/28/2018, 2485.74, 0, 2498.77, 2520.27, 2472.89
12/28/2017, 2687.54, 0, 2686.1, 2687.66, 2682.69
12/28/2016, 2249.92, 0, 2270.23, 2271.31, 2249.11
12/28/2015, 2056.5, 0, 2057.77, 2057.77, 2044.2
12/27/2018, 2488.83, 0, 2442.5, 2489.1, 2397.94
12/27/2017, 2682.62, 0, 2682.1, 2685.64, 2678.91
12/27/2016, 2268.88, 0, 2266.23, 2273.82, 2266.15
12/26/2018, 2467.7, 0, 2363.12, 2467.76, 2346.58
12/26/2017, 2680.5, 0, 2679.09, 2682.74, 2677.96
12/26/2014, 2088.77, 0, 2084.3, 2092.7, 2084.3
12/24/2018, 2351.1, 0, 2400.56, 2410.34, 2351.1
12/24/2015, 2060.99, 0, 2063.52, 2067.36, 2058.73
12/24/2014, 2081.88, 0, 2083.25, 2087.56, 2081.86
12/23/2016, 2263.79, 0, 2260.25, 2263.79, 2258.84
12/23/2015, 2064.29, 0, 2042.2, 2064.73, 2042.2
12/23/2014, 2082.17, 0, 2081.48, 2086.73, 2079.77
12/22/2017, 2683.34, 0, 2684.22, 2685.35, 2678.13
12/22/2016, 2260.96, 0, 2262.93, 2263.18, 2256.08
12/22/2015, 2038.97, 0, 2023.15, 2042.74, 2020.49
12/22/2014, 2078.54, 0, 2069.28, 2078.76, 2069.28
12/21/2018, 2416.62, 0, 2465.38, 2504.41, 2408.55
12/21/2017, 2684.57, 0, 2683.02, 2692.64, 2682.4
12/21/2016, 2265.18, 0, 2270.54, 2271.23, 2265.15
12/21/2015, 2021.15, 0, 2010.27, 2022.9, 2005.93
12/20/2018, 2467.42, 0, 2496.77, 2509.63, 2441.18
12/20/2017, 2679.25, 0, 2688.18, 2691.01, 2676.11
12/20/2016, 2270.76, 0, 2266.5, 2272.56, 2266.14
12/19/2018, 2506.96, 0, 2547.05, 2585.29, 2488.96
12/19/2017, 2681.47, 0, 2692.71, 2694.44, 2680.74
12/19/2016, 2262.53, 0, 2259.24, 2267.47, 2258.21
12/19/2014, 2070.65, 0, 2061.04, 2077.85, 2061.03
12/18/2018, 2546.16, 0, 2559.9, 2573.99, 2528.71
12/18/2017, 2690.16, 0, 2685.92, 2694.97, 2685.92
12/18/2015, 2005.55, 0, 2040.81, 2040.81, 2005.33
12/18/2014, 2061.23, 0, 2018.98, 2061.23, 2018.98
12/17/2018, 2545.94, 0, 2590.75, 2601.13, 2530.54
12/17/2015, 2041.89, 0, 2073.76, 2076.37, 2041.66
12/17/2014, 2012.89, 0, 1973.77, 2016.75, 1973.77
12/16/2016, 2258.07, 0, 2266.81, 2268.05, 2254.24
12/16/2015, 2073.07, 0, 2046.5, 2076.72, 2042.43
12/16/2014, 1972.74, 0, 1986.71, 2016.89, 1972.56
12/15/2017, 2675.81, 0, 2660.63, 2679.63, 2659.14
12/15/2016, 2262.03, 0, 2253.77, 2272.12, 2253.77
12/15/2015, 2043.41, 0, 2025.55, 2053.87, 2025.55
12/15/2014, 1989.63, 0, 2005.03, 2018.69, 1982.26
12/14/2018, 2599.95, 0, 2629.68, 2635.07, 2593.84
12/14/2017, 2652.01, 0, 2665.87, 2668.09, 2652.01
12/14/2016, 2253.28, 0, 2268.35, 2276.2, 2248.44
12/14/2015, 2021.94, 0, 2013.37, 2022.92, 1993.26
12/13/2018, 2650.54, 0, 2658.7, 2670.19, 2637.27
12/13/2017, 2662.85, 0, 2667.59, 2671.88, 2662.85
12/13/2016, 2271.72, 0, 2263.32, 2277.53, 2263.32
12/12/2018, 2651.07, 0, 2658.23, 2685.44, 2650.26
12/12/2017, 2664.11, 0, 2661.73, 2669.72, 2659.78
12/12/2016, 2256.96, 0, 2258.83, 2264.03, 2252.37
12/12/2014, 2002.33, 0, 2030.36, 2032.25, 2002.33
12/11/2018, 2636.78, 0, 2664.44, 2674.35, 2621.3
12/11/2017, 2659.99, 0, 2652.19, 2660.33, 2651.47
12/11/2015, 2012.37, 0, 2047.27, 2047.27, 2008.8
12/11/2014, 2035.33, 0, 2027.92, 2055.53, 2027.92
12/10/2019, 3132.52, 0, 3135.36, 3142.12, 3126.09
12/10/2018, 2637.72, 0, 2630.86, 2647.51, 2583.23
12/10/2015, 2052.23, 0, 2047.93, 2067.65, 2045.67
12/09/2019, 3135.96, 0, 3141.86, 3148.87, 3135.46
12/09/2016, 2259.53, 0, 2249.73, 2259.8, 2249.23
12/09/2015, 2047.62, 0, 2061.17, 2080.33, 2036.53
12/08/2017, 2651.5, 0, 2646.21, 2651.65, 2644.1
12/08/2016, 2246.19, 0, 2241.13, 2251.69, 2237.57
12/08/2015, 2063.59, 0, 2073.39, 2073.85, 2052.32
12/07/2018, 2633.08, 0, 2691.26, 2708.54, 2623.14
12/07/2017, 2636.98, 0, 2628.38, 2640.99, 2626.53
12/07/2016, 2241.35, 0, 2210.72, 2241.63, 2208.93
12/07/2015, 2077.07, 0, 2090.42, 2090.42, 2066.78
12/06/2019, 3145.91, 0, 3134.62, 3150.6, 3134.62
12/06/2018, 2695.95, 0, 2663.51, 2696.15, 2621.53
12/06/2017, 2629.27, 0, 2626.24, 2634.41, 2624.75
12/06/2016, 2212.23, 0, 2207.26, 2212.78, 2202.21
12/05/2019, 3117.43, 0, 3119.21, 3119.45, 3103.76
12/05/2017, 2629.57, 0, 2639.78, 2648.72, 2627.73
12/05/2016, 2204.71, 0, 2200.65, 2209.42, 2199.97
12/04/2019, 3112.76, 0, 3103.5, 3119.38, 3102.53
12/04/2018, 2700.06, 0, 2782.43, 2785.93, 2697.18
12/04/2017, 2639.44, 0, 2657.19, 2665.19, 2639.03
12/04/2015, 2091.69, 0, 2051.24, 2093.84, 2051.24
12/03/2019, 3093.2, 0, 3087.41, 3094.97, 3070.33
12/03/2018, 2790.37, 0, 2790.5, 2800.18, 2773.38
12/03/2015, 2049.62, 0, 2080.71, 2085, 2042.35
12/02/2019, 3113.87, 0, 3143.85, 3144.31, 3110.78
12/02/2016, 2191.95, 0, 2191.12, 2197.95, 2188.37
12/02/2015, 2079.51, 0, 2101.71, 2104.27, 2077.11
12/01/2017, 2642.22, 0, 2645.1, 2650.62, 2605.52
12/01/2016, 2191.08, 0, 2200.17, 2202.6, 2187.44
12/01/2015, 2102.63, 0, 2082.93, 2103.37, 2082.93
11/30/2018, 2760.17, 0, 2737.76, 2760.88, 2732.76
11/30/2017, 2647.58, 0, 2633.93, 2657.74, 2633.93
11/30/2016, 2198.81, 0, 2204.97, 2214.1, 2198.81
11/30/2015, 2080.41, 0, 2090.95, 2093.81, 2080.41
11/29/2019, 3140.98, 0, 3147.18, 3150.3, 3139.34
11/29/2018, 2737.76, 0, 2736.97, 2753.75, 2722.94
11/29/2017, 2626.07, 0, 2627.82, 2634.89, 2620.32
11/29/2016, 2204.66, 0, 2200.76, 2210.46, 2198.15
11/28/2018, 2743.79, 0, 2691.45, 2744, 2684.38
11/28/2017, 2627.04, 0, 2605.94, 2627.69, 2605.44
11/28/2016, 2201.72, 0, 2210.21, 2211.14, 2200.36
11/27/2019, 3153.63, 0, 3145.49, 3154.26, 3143.41
11/27/2018, 2682.17, 0, 2663.75, 2682.53, 2655.89
11/27/2017, 2601.42, 0, 2602.66, 2606.41, 2598.87
11/27/2015, 2090.11, 0, 2088.82, 2093.29, 2084.13
11/26/2019, 3140.52, 0, 3134.85, 3142.69, 3131
11/26/2018, 2673.45, 0, 2649.97, 2674.35, 2649.97
