Date, Close/Last, Volume, Open, High, Low
12/10/2019, $348.84, 8839951, $339.96, $350.73, $339.31
12/09/2019, $339.53, 9040217, $336.59, $344.45, $335.08
12/06/2019, $335.89, 7618937, $335, $338.86, $334.77
12/05/2019, $330.37, 3736976, $332.83, $334.4227, $327.25
12/04/2019, $333.03, 5536255, $337.75, $337.86, $332.85
12/03/2019, $336.2, 6613476, $332.62, $337.91, $332.186
12/02/2019, $334.87, 6081986, $329.4, $336.3827, $328.687
11/29/2019, $329.94, 2465629, $331.11, $331.26, $327.5
11/27/2019, $331.29, 5563459, $331.12, $333.93, $328.57
11/26/2019, $328.92, 7956239, $335.27, $335.5, $327.1
11/25/2019, $336.34, 12345770, $344.32, $344.57, $334.46
11/22/2019, $333.04, 16870640, $340.16, $341, $330
11/21/2019, $354.83, 6110013, $354.51, $360.84, $354.0039
11/20/2019, $352.22, 6733965, $360, $361.2, $349.57
11/19/2019, $359.52, 7736078, $351.75, $359.99, $347.8
11/18/2019, $349.99, 4408505, $352.917, $353.15, $346.1
11/15/2019, $352.17, 4812563, $350.64, $352.8, $348.36
11/14/2019, $349.35, 6471703, $346.11, $353.84, $342.91
11/13/2019, $346.11, 8467863, $355, $356.33, $345.18
11/12/2019, $349.93, 7359383, $346.9, $350.37, $344.04
11/11/2019, $345.09, 9993689, $343.95, $349.19, $342
11/08/2019, $337.14, 6074221, $334.5, $337.46, $332.5
11/07/2019, $335.54, 14467350, $329.14, $341.5, $328.02
11/06/2019, $326.58, 7940932, $318, $326.72, $314.5
11/05/2019, $317.22, 6943417, $319.62, $323.51, $316.118
11/04/2019, $317.47, 8787040, $314.8, $321.94, $309.26
11/01/2019, $313.31, 6383929, $316.32, $316.48, $309.8
10/31/2019, $314.92, 5066956, $313.1, $319, $313
10/30/2019, $315.01, 9641810, $313, $318.79, $309.97
10/29/2019, $316.22, 12684270, $319.99, $324.3, $314.75
10/28/2019, $327.71, 18870290, $327.54, $340.84, $322.6
10/25/2019, $328.13, 30006090, $297.72, $330, $296.11
10/24/2019, $299.68, 29819230, $298.37, $304.93, $289.2
10/23/2019, $254.68, 11216180, $254.5, $256.14, $251.35
10/22/2019, $255.58, 4625095, $254.32, $258.33, $250.85
10/21/2019, $253.5, 5108101, $258.33, $259.5, $250.18
10/18/2019, $256.95, 5753666, $260.7, $262.8, $255.1
10/17/2019, $261.97, 4779043, $262.5, $264.78, $260.17
10/16/2019, $259.75, 6704303, $257.39, $262.1, $256.92
10/15/2019, $257.89, 6479456, $257.7, $260, $254.12
10/14/2019, $256.96, 10226860, $247.9, $258.55, $247.13
10/11/2019, $247.89, 8488159, $247.15, $251.08, $246.81
10/10/2019, $244.74, 6313417, $245.28, $249.28, $241.58
10/09/2019, $244.53, 6935033, $241.32, $247.295, $240.65
10/08/2019, $240.05, 8702338, $235.87, $243.94, $234.5
10/07/2019, $237.72, 8086957, $229.8, $238.56, $228.55
10/04/2019, $231.43, 8021180, $231.61, $234.78, $228.07
10/03/2019, $233.03, 15137760, $231.86, $234.48, $224.28
10/02/2019, $243.13, 6256548, $243.29, $244.65, $239.43
10/01/2019, $244.69, 6196290, $241.5, $245.95, $239.13
09/30/2019, $240.87, 5946161, $243, $243.98, $236.1111
09/27/2019, $242.13, 11123180, $242.2, $248.71, $238.73
09/26/2019, $242.56, 12078790, $230.66, $243.31, $227.4
09/25/2019, $228.7, 9444286, $224.56, $228.98, $218.36
09/24/2019, $223.21, 12941110, $241.52, $241.99, $222.61
09/23/2019, $241.23, 4391630, $240, $245.1794, $239.22
09/20/2019, $240.62, 6506264, $246.49, $246.946, $238.16
09/19/2019, $246.6, 4883135, $246, $247.94, $244.84
09/18/2019, $243.49, 4228103, $245, $248.1685, $242.37
09/17/2019, $244.79, 3946909, $242.47, $245.6, $240.37
09/16/2019, $242.81, 4728096, $246, $247.43, $241.17
09/13/2019, $245.2, 5313145, $246.96, $248.45, $244.865
09/12/2019, $245.87, 8581210, $247.7, $253.5, $244.4
09/11/2019, $247.1, 10042780, $237.38, $248.1741, $236
